,title,label,processed_title
981,Operations Supervisor,CLASS7,operations supervisor
982,"SC System and Master Data Manager, Oncology",CLASS5,sc system and master data manager oncology
983,E2E Enterprise Technical Lead,CLASS4,e2e enterprise technical lead
984,Layout Graphic Designer,CLASS6,layout graphic designer
985,AI Digital Risk Leader H/F,CLASS5,ai digital risk leader 
986,Tech Lead - Connected Vehicle,CLASS5,tech lead  connected vehicle
987,Collections Representative - Columbia,CLASS10,collections representativeresentative  columbia
988,COMMERCIAL CARD PRODUCT MANAGER,CLASS6,commercial card product manager
989,Cloud Platform Automation Engineer,CLASS5,cloud platform automation engineer
990,Card Services Specialist (Hybrid),CLASS10,card services specialist 
991,High End Specialist,CLASS13,high end specialist
992,Front Office Associate,CLASS13,front office associate
993,RAN Specialist,CLASS13,ran specialist
994,Strategic Project Manager,CLASS4,strategic project manager
995,Regional Revenue Manager,CLASS10,regional revenue manager
996,Director Business Security Advisory US,CLASS3,director business security advisory us
997,Payroll Specialist (m/f/d) Ericsson Germany,CLASS10,payroll specialist  ericsson germany
998,Clinical Project Manager,CLASS4,clinical project manager
999,Accounts Payable Analyst,CLASS10,accounts payable analyst
1000,Commercial Banking Officer IV / Agricultural loans,CLASS10,commercial banking officer 4  agricultural loans
1001,Automation Engineer,CLASS5,automation engineer
1002,AP GFR Accountant with Spanish,CLASS10,ap gfr accountant with spanish
1003,Senior Analyst - Corporate Accounting and SEC Reporting,CLASS10,senior analyst  corporate accounting and sec representativeorting
1004,Project Manager - Tax,CLASS10,project manager  tax
1005,Fraud Analyst,CLASS3,fraud analyst
1006,Supply Chain Director,CLASS7,supply chain director
1007,Transportation & Logistics Analyst,CLASS7,transportation and logistics analyst
1008,Business Development Sales Representative - Portland - 2022 Start Date,CLASS6,business development sales representativeresentative  portland   
1009,Marketing Analytics,CLASS6,marketing analytics
1010,VP of Client Experience,CLASS6,vp of client experience
1011,Office Administrator,CLASS13,office administrator
1012,Support Engineer,CLASS11,support engineer
1013,Sr Industrial Electrification Specialist,CLASS8,senior industrial electrification specialist
1014,Civil Engineer / Architect for new and existing building,CLASS8,civil engineer  architect for new and existing building
1015,"Customer Marketing Manager, Health",CLASS6,customer marketing manager health
1016,Senior Revenue Protection Field Operator - Bristol,CLASS13,senior revenue protection field operator  bristol
1017,Brow & Beauty Expert - Reigate Boutique,CLASS13,brow and beauty expert  reigate boutique
1018,Data Implementation Analyst,CLASS5,data implementation analyst
1019,"Retail Lead - Chicago Prem, 6159, Aurora, IL",CLASS6,retail lead  chicago prem 6159 aurora il
1020,Primary Care Sales Specialist – CRM – Fresno – Remote,CLASS6,primary care sales specialist  crm  fresno  remote
1021,Commercial Effectiveness,CLASS13,commercial effectiveness
1022,"Director, Total Rewards",CLASS1,director total rewards
1023,Chemisch Analist,CLASS4,chemisch analist
1024,Lead Generation Manager,CLASS6,lead generation manager
1025,Counter Manager - St Andrews,CLASS13,counter manager  st andrews
1026,Senior Expert Integrity,CLASS3,senior expert integrity
1027,Brand Support Manager – Innovation Team,CLASS6,brand support manager  innovation team
1028,Treasury Purchase Intern,CLASS10,treasury purchase intern
1029,Order Management Specialist with German,CLASS7,order management specialist with german
1030,Experte (w/m/d) Semiconductor Analytics in Analytical Services (Zentrale Analytik),CLASS4,experte  semiconductor analytics in analytical services 
1031,Junior Retoucher,CLASS13,junior retoucher
1032,Product Engineer Energy Storage,CLASS4,product engineer energy storage
1033,醫藥業務專員 (中區) Rare Disease- (Sr.) Medical Specialist (Central),CLASS4,  rare disease  medical specialist 
1034,Document Administrator,CLASS13,document administrator
1035,Application Engineer,CLASS5,application engineer
1036,Experienced Test Developer,CLASS5,experienced test developer
1037,Analista de Crédito - Credit Analyst,CLASS10,analista de crdito  credit analyst
1038,Business Process Developer for Operations,CLASS4,business process developer for operations
1039,Production Tech,CLASS8,production tech
1040,Senior Sales Operations Analyst,CLASS6,senior sales operations analyst
1041,Retail Marketing Manager,CLASS6,retail marketing manager
1042,"Sr. Analyst, Production & Demand Planning",CLASS7,senior analyst production and demand planning
1043,Manager Financial Planning & Analysis,CLASS10,manager financial planning and analysis
1044,Enterprise Architect,CLASS5,enterprise architect
1045,Software Developer - Connectivity,CLASS5,software developer  connectivity
1046,Field Applications Specialist - TD - New Jersey,CLASS11,field applications specialist  td  new jersey
1047,Senior Revenue Protection Field Operator - Deptford and Camberwell,CLASS13,senior revenue protection field operator  deptford and camberwell
1048,Electrical Designer,CLASS4,electrical designer
1049,MRO - Logbook Review Technician,CLASS11,mro  logbook review technician
1050,QA Engineer,CLASS8,quality assucance engineer
1051,People Advisor,CLASS1,people advisor
1052,Service Field Engineer - EMEA (m/f/d),CLASS11,service field engineer  emea 
1053,Regional Assistant-Shanghai,CLASS13,regional assistantshanghai
1054,Senior Sustainability Technologist,CLASS13,senior sustainability technologist
1055,Java Senior Software Engineer,CLASS5,java senior software engineer
1056,PMO,CLASS13,pmo
1057,Corporate Services Manager,CLASS13,corporate services manager
1058,Principal Engineer- Software - Active Vehicle Control,CLASS5,principal engineer software  active vehicle control
1059,Consultant Global Organizational Design & Effectiveness,CLASS1,consultant global organizational design and effectiveness
1060,Process Expert (AM Shift),CLASS4,process expert 
1061,"In-Vivo Technical Research Associate, Comparative Medicine",CLASS4,invivo technical research associate comparative medicine
1062,Receptionist,CLASS13,receptionist
1063,HR Administrator (Workforce),CLASS1,human resource administrator 
1064,Accounts Payable Specialist,CLASS10,accounts payable specialist
1065,Systems Integration Specialist,CLASS8,systems integration specialist
1066,Product Development Engineer,CLASS4,product development engineer
1067,Tax Manager (m/f/d),CLASS10,tax manager 
1068,Senior Process Engineer (2 Year Fixed Term),CLASS4,senior process engineer 
1069,Commercial Excellence Business Analyst,CLASS6,commercial excellence business analyst
1070,Technical Support Specialist 1 - Point of Care,CLASS11,technical support specialist 1  point of care
1071,Financial Analyst Senior,CLASS10,financial analyst senior
1072,Electrical Fitter,CLASS11,electrical fitter
1073,Product Owner Infra (DevOps),CLASS5,product owner infra 
1074,Grants Writer,CLASS13,grants writer
1075,Operational Manager,CLASS7,operational manager
1076,Administrative Assistant,CLASS13,administrative assistant
1077,Senior Financial Controller,CLASS10,senior financial controller
1078,EU Carrier Sales Rep,CLASS6,eu carrier sales representative
1079,Change Manager,CLASS13,change manager
1080,Director of Facilities,CLASS13,director of facilities
1081,Finance Business Partner – Marketing & Trading,CLASS10,finance business partner  marketing and trading
1082,Summer 2022 Business Development Sales Intern - Detroit,CLASS6,summer  business development sales intern  detroit
1083,Cloud Customer Success Manager,CLASS2,cloud customer success manager
1084,Customer Success Engineer - Portugal Remote,CLASS2,customer success engineer  portugal remote
1085,Customer Support L1 (Corel),CLASS2,customer support l1 
1086,Deal Desk/Best Practices Analyst,CLASS6,deal deskbest practices analyst
1087,"EMEA, Deal Desk Representative - Fixed Term",CLASS6,emea deal desk representativeresentative  fixed term
1088,Global Support Agent (L2),CLASS2,global support agent 
1089,Global Support Engineer (L1),CLASS11,global support engineer 
1090,Global Support Engineer (L2),CLASS11,global support engineer 
1091,Global Support L1 Agent,CLASS2,global support l1 agent
1092,Global Support L2 Agent,CLASS2,global support l2 agent
1093,Global Support L2 Team Lead,CLASS11,global support l2 team lead
1094,Global Support L2 Team Lead - US Remote,CLASS11,global support l2 team lead  us remote
1095,Intermediate Support Engineer T1 Corel Draw Graphic Suite,CLASS11,intermediate support engineer t1 corel draw graphic suite
1096,Intermediate Support Engineer T1 Parallels Desktop,CLASS11,intermediate support engineer t1 parallels desktop
1097,Intermediate Support Engineer T2 Parallels Desktop,CLASS11,intermediate support engineer t2 parallels desktop
1098,Junior Support Engineer T1 Corel Draw Graphic Suite,CLASS11,junior support engineer t1 corel draw graphic suite
1099,Junior Support Engineer T1 Parallels Desktop,CLASS11,junior support engineer t1 parallels desktop
1100,Junior Support Engineer T2 Parallels Desktop,CLASS11,junior support engineer t2 parallels desktop
1101,L3 Support Engineer,CLASS11,l3 support engineer
1102,OutSystems Technical Trainer,CLASS11,outsystems technical trainer
1103,Principal Architect,CLASS4,principal architect
1104,"Product Field Strategy & Support, APAC",CLASS11,product field strategy and support apac
1105,Product Support Engineer (L2),CLASS11,product support engineer 
1106,Senior Support Engineer T1 Corel Draw Graphic Suite,CLASS11,senior support engineer t1 corel draw graphic suite
1107,Senior Support Engineer T1 Parallels Desktop,CLASS11,senior support engineer t1 parallels desktop
1108,Senior Support Engineer T2 Parallels Desktop,CLASS11,senior support engineer t2 parallels desktop
1109,Senior Technical Success Manager,CLASS11,senior technical success manager
1110,Support Engineer (L2),CLASS11,support engineer 
1111,Technical Success Manager,CLASS11,technical success manager
1112,Technical Support Representative,CLASS11,technical support representativeresentative
1113,Takeda Digital Ventures Investment Lead,CLASS10,takeda digital ventures investment lead
1114,Salesforce Engineer,CLASS6,salesforce engineer
1115,"Sr. Research Manager, Value and Evidence Generation",CLASS4,senior research manager value and evidence generation
1116,Pharmazeut im Praktikum (m/w/d),CLASS4,pharmazeut im praktikum 
1117,Director/Sr. Director Clinical Partner Management,CLASS4,directorsenior director clinical partner management
1118,Drug Substance Supervisor,CLASS4,drug substance supervisor
1119,Merchandiser (Part-Time),CLASS6,merchandiser 
1120,Front Line Manager - Packaging,CLASS8,front line manager  packaging
1121,Junior Controller (m/f),CLASS10,junior controller 
1122,Japan E-VMD Manager,CLASS5,japan evmd manager
1123,"It Cosmetics - Sales & Training Coordinator (Kansas City, MO)",CLASS6,it cosmetics  sales and training coordinator 
1124,Internship Corporate Affairs and Engagement,CLASS3,intern corporate affairs and engagement
1125,Stagiaire H/F IngÃƒÂ©nieur Lancement - Usine de Gauchy,CLASS4,stagiaire  ingnieur lancement  usine de gauchy
1126,Facilities Project Manager,CLASS8,facilities project manager
1127,Production Manager (Packaging),CLASS8,production manager 
1128,HUMAN RESOURCES LEAD Ãƒâ€“STERREICH (m/w/d),CLASS1,human resources lead sterreich 
1129,Assistant Medical Education Manager(Ã¤Â¿Â®Ã¤Â¸Â½Ã¥ÂÂ¯MSL),CLASS4,assistant medical education manager
